Question,1,2,3,4,5,Reflective Questions,EXAMPLE
L5,"Du var ude af stand til at kommunikere effektivt med andre mennesker, og de krævede hjælp til at forstå dig.","Andre mennesker stod over for betydelige udfordringer med at forstå, hvad du sagde.","Andre mennesker oplevede mindre vanskeligheder med at forstå, hvad du sagde.","Andre mennesker oplevede nogle mindre udfordringer med at forstå, hvad du sagde, såsom lejlighedsvis vanskeligheder med udtale eller udtryk.","Andre mennesker oplevede ingen vanskeligheder med at forstå, hvad du sagde.","Har du i løbet af den seneste uge haft problemer med at udtrykke dig til andre, så de forstod dig?","f.eks. blev de ved med at bede dig om at gentage dine ord, virkede forvirrede eller sagde, at du ikke gav mening"
L6,"Du kan have svært ved at finde de ord, du vil sige, og kan have brug for hjælp til at kommunikere.","Du kan stå over for betydelige udfordringer med at finde de ord, du vil sige.","Du kan opleve mindre vanskeligheder med at finde de ord, du vil sige.","Du kan opleve nogle mindre udfordringer med at finde de ord, du gerne vil sige, såsom lejlighedsvise vanskeligheder med at finde ord.","Du vil muligvis ikke opleve nogen vanskeligheder med at finde de ord, du vil sige.","Var der i løbet af den sidste uge et tilfælde, hvor du ikke kunne komme i tanke om de rigtige ord at sige?","fx du vidste, at der var et bestemt ord, du ville sige, men du kunne ikke sætte det i tale"
L7,"Denne mulighed antyder, at du ikke var i stand til at gentage dig selv og havde brug for hjælp til at kommunikere effektivt.","Denne mulighed antyder, at du stod over for betydelige udfordringer ved at gentage dig selv.","Denne mulighed antyder, at du oplevede mindre vanskeligheder med at gentage dig selv.","Denne mulighed antyder, at du har oplevet nogle mindre udfordringer ved at gentage dig selv, såsom lejlighedsvis vanskeligheder med at udtale eller udtrykke.","Denne mulighed indikerer, at du ikke oplevede nogen problemer med at gentage dig selv.","Har du i løbet af den sidste uge været nødt til at gentage dine ord, fordi andre mennesker havde svært ved at forstå dig?",fx bad folk dig om at gentage et bestemt ord eller en hel sætning
M1,"Baseret på dit svar tyder det på, at du slet ikke var i stand til at gå og havde brug for betydelig hjælp til mobilitet.","Dit svar tyder på, at du stod over for betydelige udfordringer med at gå.","Dit svar indikerer, at du oplevede mindre problemer med at gå, såsom lejlighedsvis ustabilitet eller træthed.","Dit svar tyder på, at du har oplevet nogle mindre udfordringer ved at gå, såsom lettere problemer med balance eller koordination.","Dit svar indikerer, at du ikke oplevede nogen vanskeligheder med at gå.","I løbet af den sidste uge, når du bevægede dig ude eller inde, havde du nogle problemer?","fx har du problemer med at gå op ad trapper, du har brug for ekstra udstyr/hjælp når du går udenfor"
M4,"Dette tyder på, at du ikke var i stand til at bøje dig eller række ud efter genstande uden at miste balancen og krævede assistance eller ændringer for at udføre disse aktiviteter sikkert.","Dette tyder på, at du stod over for betydelige udfordringer med at bevare din balance, når du bøjede dig over eller rakte ud efter genstande.","Dette tyder på, at du oplevede mindre vanskeligheder med at opretholde din balance, når du bøjede dig eller rakte ud efter genstande.","Dette tyder på, at du har oplevet nogle mindre udfordringer med at opretholde din balance, når du bøjer dig over eller rækker ud efter genstande, såsom små problemer med koordination eller balance.","Dette tyder på, at du ikke oplevede nogen vanskeligheder med at opretholde din balance, når du bøjede dig eller rakte ud efter genstande.","Var der i løbet af den sidste uge et tidspunkt, hvor du bøjede dig eller rakte ud for at samle noget op og mistede balancen?","fx når man bruger en stol til at nå en højere hylde, når man samler noget op fra gulvet"
M6,"Dette tyder på, at du ikke var i stand til at gå op ad trapper og havde brug for hjælp eller ændringer for at få adgang til områder, der kræver trapper.","Dette tyder på, at du stod over for betydelige udfordringer med at gå på trapper.","Dette tyder på, at du har oplevet mindre vanskeligheder med at gå op ad trapper, såsom lejlighedsvis ustabilitet eller træthed.","Dette tyder på, at du har oplevet nogle mindre udfordringer ved at gå på trapper, såsom små besvær med koordination eller balance.","Dette indikerer, at du ikke har oplevet nogen vanskeligheder ved at gå op ad trapper.",Har du i løbet af den seneste uge oplevet svært ved at gå op ad trapper?,"du skulle fx holde en lang pause, mens du gik op ad trapper, eller nogen skulle hjælpe dig"
M7,"Denne mulighed antyder, at du ikke var i stand til at gå eller bruge kørestol uden at skulle stoppe og hvile ofte.","Denne mulighed antyder, at du stod over for betydelige udfordringer med træthed eller udholdenhed, når du gik eller brugte kørestol, og havde brug for hyppige pauser eller hvileperioder.","Denne mulighed tyder på, at du oplevede mindre vanskeligheder med træthed eller udholdenhed, når du gik eller brugte kørestol.","Denne mulighed antyder, at du oplevede nogle mindre udfordringer med træthed eller udholdenhed, når du gik eller brugte kørestol.","Denne mulighed indikerer, at du ikke oplevede nogen vanskeligheder med træthed eller udholdenhed, når du gik eller brugte kørestol.","I løbet af den sidste uge, havde du brug for en pause, mens du flyttede fra et sted til et andet?","fx skulle man holde pauser, mens man gik en tur, skulle afkorte en aktivitet, der krævede bevægelse"
M8,"Dette tyder på, at du ikke var i stand til at stå uden assistance eller støtte og havde svært ved at opretholde balancen selv med assistance.","Det tyder på, at du kunne stå i korte perioder med støtte, men havde svært ved at holde balancen på egen hånd.","Det tyder på, at du kunne stå i korte perioder uden støtte, men havde svært ved at holde balancen.","Dette tyder på, at du var i stand til at stå i længere perioder uden støtte, men oplevede noget ubehag eller ustabilitet.","Dette tyder på, at du var i stand til at stå behageligt og opretholde balancen uden besvær.",Har det i løbet af den sidste uge givet dig ubehag eller problemer at stå op?,"fx ved tilberedning af måltid, i bad, påklædning, rengøring"
M9,"Denne mulighed antyder, at du ikke var i stand til at komme ud af en stol uden hjælp eller støtte.","Denne mulighed antyder, at du kan komme ud af en stol med lidt besvær eller ubehag.","Denne mulighed antyder, at du kan komme ud af en stol, men med lidt besvær eller ubehag.","Denne mulighed antyder, at du kan komme ud af en stol uden besvær, men med et vist ubehag eller stivhed.","Denne mulighed indikerer, at du var i stand til at komme ud af en stol komfortabelt og uden besvær.","I løbet af den seneste uge, gik du i stå eller skulle give en masse energi for at rejse dig fra at sidde ned?","fx når du rejser dig fra sofaen, tager du lang tid om at rejse dig, nogle gange opgiver du forsøgene og sidder længere for at genoprette kræfterne"
W1,"Denne mulighed antyder, at du ikke var i stand til at udføre noget dagligt arbejde i huset, såsom rengøring, madlavning eller vasketøj.","Denne mulighed antyder, at du havde betydelige problemer med at udføre dagligt arbejde rundt om i huset og havde brug for assistance til at udføre opgaver.","Denne mulighed antyder, at du kan udføre dagligt arbejde rundt om i huset, men med lidt besvær eller ubehag.","Denne mulighed foreslår, at du kan udføre dagligt arbejde rundt i huset med mindre besvær eller ubehag.","Denne mulighed angiver, at du var i stand til at udføre dagligt arbejde rundt i huset komfortabelt og uden besvær.",Var det i løbet af den sidste uge svært at følge med i alle dine huslige pligter?,"fx aftørring, opvask, madlavning, havearbejde, vask af vasketøj"
W2,"Denne mulighed antyder, at du ikke var i stand til at fuldføre noget job, du startede, og havde brug for betydelig assistance eller support for at afslutte opgaver.","Denne mulighed antyder, at du havde betydelige vanskeligheder med at afslutte opgaver, du startede, og havde brug for hjælp til at fuldføre opgaver.","Denne mulighed antyder, at du var i stand til at afslutte opgaver, som du startede, men med nogle vanskeligheder eller forsinkelser.","Denne mulighed antyder, at du var i stand til at afslutte opgaver, som du startede, men med mindre besvær eller forsinkelser.","Denne mulighed angiver, at du var i stand til komfortabelt at afslutte opgaver, som du startede uden problemer.","Har der i løbet af den seneste uge været tidspunkter, hvor du startede et projekt, men ikke kunne finde energien/motivationen til at afslutte det?","fx du bliver for træt, eller det tager for lang tid, og du giver op, du skal tage flere pauser for at afslutte en aktivitet"
W3,"Dette tyder på, at du har brug for betydelig hjælp eller støtte til at udføre opgaver.","Denne mulighed antyder, at du har brug for hjælp til at udføre opgaver.","Denne mulighed antyder, at du havde nogle vanskeligheder eller begrænsninger på grund af din tilstand.","Denne mulighed antyder, at du er i stand til at udføre det meste af arbejdet med mindre besvær eller begrænsninger.","Denne mulighed indikerer, at du er i stand til at udføre det arbejde, du plejede at gøre, komfortabelt og uden besvær.","Har du i løbet af den sidste uge oplevet problemer med at udføre de aktiviteter, som du tidligere var i stand til at udføre?","fx du kæmper for at læse som du plejede, du kan ikke passe din have længere, du har problemer med at arbejde"
UE1,"Dette tyder på, at din tilstand forhindrede dig i overhovedet at kunne skrive eller skrive.","Dette tyder på, at du havde betydelige problemer med at skrive eller skrive.","Dette tyder på, at du kan skrive eller skrive, men med nogle vanskeligheder eller begrænsninger.","Dette tyder på, at du kan skrive eller skrive med mindre besvær eller begrænsninger.","Dette tyder på, at du var i stand til at skrive eller skrive komfortabelt og uden besvær.","Var der i løbet af den sidste uge et tidspunkt, hvor du skulle skrive/skrive noget, og det var meget svært for dig?","fx at skrive din signatur, sms på din telefon, skrive en indkøbsliste"
UE2,"Dette tyder på, at du ikke var i stand til at tage sokker på.","Dette tyder på, at du havde betydelige problemer med at tage sokker på.","Dette tyder på, at du kan tage sokker på, men med nogle vanskeligheder eller begrænsninger.","Dette tyder på, at du kan tage sokker på med mindre besvær eller begrænsninger.","Dette tyder på, at du var i stand til at tage sokker på komfortabelt og uden besvær.",Har du i løbet af den sidste uge kæmpet for at tage dine sokker på?,"fx tog dig lang tid, krævede hjælp fra en anden"
UE3,"Baseret på dit svar ser det ud til, at du slet ikke var i stand til at knappe.","Dit svar indikerer, at du havde betydelige problemer med at knappe knapper.","Det ser ud til, at du kan trykke på knapper, men med nogle vanskeligheder eller begrænsninger.",Ifølge dit svar var du i stand til at trykke på knapper med mindre vanskeligheder eller begrænsninger.,"Dit svar antyder, at du var i stand til at knappe knapper komfortabelt og uden problemer.",Har du i løbet af den sidste uge kæmpet med at knappe knapper?,"fx tog dig lang tid, krævede hjælp fra en anden"
UE5,"Baseret på dit svar ser det ud til, at du slet ikke var i stand til at lyne en lynlås.","Baseret på dit svar ser det ud til, at du havde betydelige problemer med at lyne en lynlås.","Baseret på dit svar ser det ud til, at du var i stand til at lyne en lynlås, men med nogle vanskeligheder eller begrænsninger.","Baseret på dit svar ser det ud til, at du var i stand til at lyne en lynlås med mindre besvær eller begrænsninger.","Baseret på dit svar ser det ud til, at du var i stand til at lyne en lynlås komfortabelt og uden besvær.",Har du i løbet af den sidste uge kæmpet med at lyne en lynlås?,"fx tog dig lang tid, krævede hjælp fra en anden"
UE6,"Dette tyder på, at det er ekstremt udfordrende for dig at åbne en krukke.","Dit svar indikerer, at det er ret svært for dig at åbne en krukke.","Dit svar antyder, at du er i stand til at åbne en krukke, men med nogle vanskeligheder eller begrænsninger.","Dit svar indikerer, at du kan åbne en krukke med mindre besvær eller begrænsninger.","Dit svar antyder, at du er i stand til at åbne en krukke komfortabelt og uden besvær.",Har du i løbet af den sidste uge kæmpet for at åbne en krukke?,"fx. du manglede kræfter, kunne ikke gribe den ordentligt, åbnede en pose chips, skrælle kartofler"
T2,"Dit svar tyder på, at du havde betydelige problemer med at koncentrere dig.","Dit svar tyder på, at du havde nogle problemer med at koncentrere dig, men det påvirkede ikke dit daglige liv væsentligt","Dit svar tyder på, at du ikke har haft væsentlige problemer med at koncentrere dig.","Dit svar tyder på, at du oplevede en vis lethed ved at koncentrere dig og ikke havde nogen væsentlige problemer med koncentrationen.","Dit svar tyder på, at du ikke har haft problemer med at koncentrere dig.",Har du i løbet af den seneste uge oplevet problemer med at være opmærksom eller fokusere?,"fx når man følger en opskrift, fokuserer på en opgave, følger instruktioner"
T3,"Du har ofte glemt ting, selv vigtige begivenheder eller aftaler.","Nogle gange glemte du ting, og det påvirkede dit daglige liv.","Nogle gange glemte du ting, men det påvirkede ikke dit daglige liv væsentligt.",Du oplevede mindre hukommelsesproblemer.,Du oplevede ingen mærkbare hukommelsesproblemer.,Har du i løbet af den seneste uge glemt ting?,"F.eks. du glemte, at din ven besøgte dig ugen før, kan du ikke huske, om du tog din medicin den dag"
T4,Du havde betydeligt svært ved at huske ting og skulle skrive alt ned for at undgå at glemme vigtige begivenheder eller aftaler.,"Man skulle skrive nogle ting ned for at huske dem, men ikke alt.","Du behøvede ikke at skrive ting mere ned, end du gjorde før dit slagtilfælde.","Mens du nogle gange skrev ting ned for at huske dem, var det ikke nødvendigt for de fleste ting.",Du behøvede ikke at skrive noget ned for at huske dem.,"Var der i løbet af den sidste uge et tilfælde, hvor du skulle skrive noget ned, fordi du vidste, at du sandsynligvis ville glemme det?","fx dokumenter til at tage med til lægen, hvornår kommer venner på besøg"
P1,du havde hyppige følelsesmæssige udbrud og kunne ikke kontrollere dine følelser.,Du havde sværere ved at kontrollere dine følelser,"Du havde nogle problemer med at kontrollere mine følelser efter slagtilfældet, men det var ikke et stort problem.",Din følelsesmæssige kontrol var omtrent den samme som før slagtilfældet.,Du havde ingen problemer med at kontrollere dine følelser efter slagtilfældet.,Ville du i løbet af den seneste uge betragte dig selv som let irriteret eller vred uden god grund?,"fx små ting ville nemt gøre mig sur, jeg ville ikke snakke med nogen"
P2,"Dette tyder på, at du har oplevet betydelig utålmodighed med andre.","Dette tyder på, at du har oplevet en vis utålmodighed med andre.","Dette tyder på, at du ikke oplevede meget utålmodighed med andre.","Dette tyder på, at du ikke oplevede meget utålmodighed med andre.","Dette tyder på, at du ikke oplevede nogen utålmodighed med andre.","Følte du i løbet af den sidste uge, at du manglede tålmodighed, når det kom til andres problemer?","fx uden nogen grund, jeg var meget intolerant over for andres fejl, mine reaktioner passede ikke til situationen"
P3,Du oplevede betydelige ændringer i din personlighed.,Du oplevede nogle ændringer i din personlighed.,Du oplevede en lille ændring i din personlighed.,Du oplevede ikke meget forandring i din personlighed.,Du oplevede ingen ændring i din personlighed efter dit slagtilfælde.,"Følte du i løbet af den sidste uge, at du ikke var dig selv?","F.eks. føler jeg, at jeg ikke er mig selv længere, mine venner siger, at jeg opfører mig anderledes"
MD2,"du følte, at din fremtid var dyster og kunne ikke forestille dig et positivt resultat.",Nogle gange føler du dig modløs over din fremtid.,du havde øjeblikke af tvivl om min fremtid.,Du havde nogle bekymringer om fremtiden.,du har aldrig følt dig modløs over din fremtid.,"Følte du i løbet af den seneste uge, at du ikke havde noget at se frem til i fremtiden?",Jeg ville fx ikke sætte nogle mål for mig selv eller prøve at arbejde på min restitution
MD3,"Du mistede interessen for at tilbringe tid med mennesker og gøre ting, du nyder",Du havde mindre interesse for socialt samvær og aktiviteter,Min interesse for andre mennesker og aktiviteter var omtrent den samme.,"Du var stadig interesseret i at tilbringe tid med mennesker og gøre ting, du kunne lide.",du var lige så interesseret i andre mennesker og aktiviteter.,"løbet af den sidste uge, var der et tidspunkt, hvor du var ligeglad med nogen eller noget, der skete omkring dig?","fx jeg følte mig for træt til at prøve at engagere mig med mine venner, jeg fandt ikke nogen aktivitet interessant/behagelig nok"
FR5,Du undgik sjove aktiviteter med din familie og havde ikke lyst til at deltage i dem.,"Du deltog i nogle aktiviteter, men der var mange, du undgik",Du deltog i sjove aktiviteter med din familie,"Du deltog i de fleste aktiviteter med din familie, men der var nogle, du måtte springe over",Du deltog i alle sjove aktiviteter med din familie.,"Er du i løbet af den seneste uge gået glip af sjove familieaktiviteter, fordi du ikke havde lyst til at være med?","fx jeg deltog ikke, fordi jeg var bange for, at jeg ville ødelægge alles sjov med mit handicap, jeg følte mig for deprimeret/angst for at gå, jeg følte, at jeg ikke kunne klare det følelsesmæssigt/kognitivt/fysisk"
FR7,"Dette tyder på, at du ofte følte dig som en byrde for din familie.","Dette tyder på, at du havde nogle øjeblikke, hvor du følte, at du var en byrde for din familie","Dette tyder på, at du ikke følte, at du var en byrde for din familie.","Dette tyder på, at selvom du vidste, at din familie hjalp dig meget, følte du ikke, at du var en byrde for dem.","Dette tyder på, at du aldrig har følt, at du var en byrde for din familie.","Var du i løbet af den sidste uge bange for, at du generede, irriterede eller frustrerede din familie? Eller at du spørger for meget af dem?","Jeg ville f.eks. ikke fortælle min familie om, hvordan jeg havde det fysisk/psykisk for ikke at belaste dem yderligere, jeg følte, at jeg skulle have det mindst muligt besvær, fordi jeg allerede har så meget brug for min familie."
FR8,"Dit svar tyder på, at din fysiske tilstand har haft en væsentlig indflydelse på dit familieliv.","Dit svar tyder på, at din fysiske tilstand har påvirket dit familieliv til en vis grad.","Dit svar tyder på, at din fysiske tilstand ikke har påvirket dit familieliv væsentligt.","Dit svar antyder, at din fysiske tilstand kun har en mindre indflydelse på dit familieliv.","Dit svar antyder, at din fysiske tilstand ikke har nogen indflydelse på dit familieliv.","Er du i løbet af den seneste uge blevet holdt tilbage af dit fysiske helbred, når du hænger ud med din familie?","Jeg kunne fx ikke tage på flere familieture, da jeg ikke kan gå uden rollator"
SR1,"Dette tyder på, at dine fysiske eller følelsesmæssige begrænsninger som følge af slagtilfældet i væsentlig grad påvirker din evne til at gå ud.","Dette tyder på, at du er noget begrænset i forhold til at gå ud.","Dette tyder på, at din evne til at gå ud ikke er væsentligt påvirket af fysiske eller følelsesmæssige begrænsninger.","Dette tyder på, at du kun er lidt begrænset i at gå ud.","Dette tyder på, at du ikke havde nogen begrænsninger i at gå ud.","I løbet af den seneste uge, brugte du mere tid hjemme, end du ville have foretrukket?","fx jeg var bange for at gå ud for at se mine venner, da jeg er bange for at falde, når jeg pendler"
SR4,"Dette tyder på, at din evne til at deltage i hobbyer og rekreative aktiviteter er betydeligt begrænset på grund af fysiske eller følelsesmæssige begrænsninger.","Baseret på dit svar ser det ud til, at du er noget begrænset i din mulighed for at deltage i hobbyer og fritidsaktiviteter.","Dette tyder på, at din evne til at deltage i hobbyer og rekreative aktiviteter ikke er væsentligt påvirket af fysiske eller følelsesmæssige begrænsninger.","Baseret på dit svar ser det ud til, at du kun er lidt begrænset i din mulighed for at deltage i hobbyer og fritidsaktiviteter.","Dette tyder på, at din evne til at deltage i hobbyer og fritidsaktiviteter ikke er begrænset overhovedet.","Synes du i løbet af den seneste uge, at du har brugt nok tid på at udføre dine hobbyer og yndlingsaktiviteter?","F.eks. mistede jeg interessen for fiskeri, jeg har ikke så meget have som før, fordi jeg bliver så let træt"
SR5,Dine fysiske begrænsninger eller vanskeligheder med transport forhindrede dig i at se dine venner.,"Du var i stand til at se dine venner, men ikke så ofte, som du gerne ville på grund af træthed, angst eller andre symptomer.",Du kunne nogle gange se dine venner.,"Du var i stand til at se dine venner næsten lige så ofte, som du ønskede.","Du var i stand til at se dine venner, så ofte du ville.","Besøgte eller brugte du tid sammen med så mange af dine venner i løbet af den sidste uge, som du ville have ønsket?","fx mistede jeg kontakten med nogle af mine venner, fordi jeg ikke kunne lave de aktiviteter, vi engang delte"
SR6,Dine fysiske begrænsninger eller andre problemer gjorde det svært for dig at deltage i seksuel aktivitet.,"Du var i stand til at have sex, men ikke så ofte, som du gerne ville på grund af træthed, angst eller andre symptomer.","Du havde ikke et ønske om at have sex, eller det var ikke en prioritet for dig.","Du var i stand til at have sex så ofte du ville, men foretrak at deltage i andre aktiviteter i stedet for.","Du var i stand til at have sex så ofte du ville, og du oplevede ingen begrænsninger eller vanskeligheder ved at gøre det.","Har du i løbet af den seneste uge deltaget mindre i seksuelle aktiviteter, end du ville have foretrukket?",Jeg var fx ude af stand til at have sex med min partner og måtte afvise dem flere gange
SR7,"Dette tyder på, at dine fysiske begrænsninger har gjort det udfordrende for dig at deltage i sociale aktiviteter eller interagere med andre.","du var i stand til at deltage i sociale aktiviteter, men ikke så ofte, som du ville have foretrukket på grund af symptomer som træthed og angst.","Du følte ikke, at din fysiske tilstand forstyrrede dit sociale liv.","Det ser ud til, at du var i stand til at deltage i sociale aktiviteter, så ofte du ville, men du foretrak at bruge tid alene.","Dit svar indikerer, at du ikke oplevede nogen begrænsninger eller vanskeligheder med at deltage i sociale aktiviteter på grund af din fysiske tilstand.","Var der i løbet af den sidste uge et tidspunkt, hvor dit fysiske helbred forhindrede dig i at se eller interagere med andre?","fx følte jeg, at mit talehandicap gjorde, at jeg ikke kunne få nye venner, min forværrede mobilitet forhindrede mig i at tage bussen og besøge mine venner"
MD6,"Baseret på dit svar tyder det på, at du har trukket dig tilbage fra familie og venner.","Baseret på dit svar tyder det på, at du er begyndt at undgå sociale begivenheder eller tage kontakt til mennesker.","Baseret på dit svar tyder det på, at du har blandede følelser omkring socialt samvær. Nogle dage kan du føle dig tilbagetrukket, mens du andre dage gerne vil interagere med andre.","Baseret på dit svar tyder det på, at du har formået at bevare dine sociale forbindelser og deltage i sociale arrangementer.","Baseret på dit svar tyder det på, at din helbredstilstand efter slagtilfældet ikke påvirkede dine sociale interaktioner med andre, og du var i stand til at opretholde dit normale sociale liv.","Følte du i løbet af den sidste uge, at du tog afstand fra folk omkring dig?","Jeg ville fx ikke se eller tale med nogen, jeg undgik at gå ud i offentligheden"
